linkDescription,hours
"Business Hour : 12.00pm to 7.00pm 
Rest day : Sunday
Updated 23/5/2022",12.00pm to 7.00pm
"Business Hour : 8.00am to 3.00pm 
Rest day : Tuesday 
Updated 23/4/2022",8.00am to 3.00pm
"Business Hour : 8.30am to 2.30pm ; 1st & 15th of lunar month 6.30am to 2.30pm
Rest day : 2nd , 3rd , 16th & 17th of lunar month
Updated 23/5/2022",8.30am to 2.30pm ; 1st & 15th of lunar month 6.30am to 2.30pm
"Business Hour : 9.30am to  9.00pm ; Friday 9.30am to 5.00pm 
Open daily 
Updated 21/5/2022


",9.30am to  9.00pm ; Friday 9.30am to 5.00pm
"Business Hour : 12.00pm to 10.30pm ; Sunday 4.00pm to 10.30pm
Rest day : Monday
Updated 18/4/2022",12.00pm to 10.30pm ; Sunday 4.00pm to 10.30pm
"Business Hour : 8.00am to 2.00pm 
Rest day : Monday & Thursday  
Updated 11/5/2022",8.00am to 2.00pm
"Business Hour : 9.30am to 2.30pm , 5.30pm to 9.30pm Open daily 
Updated 21/5/2022","9.30am to 2.30pm , 5.30pm to 9.30pm"
"Business Hour : 11.00am to 2.30pm , 5.00pm to 9.30pm 
Rest day : Monday
Updated 20/5/2022

","11.00am to 2.30pm , 5.00pm to 9.30pm"
"Business Hour : 7.30am to 11.00am Rest day : Friday
Updated 20/4/2022",7.30am to 11.00am
"Business Hour : 11.30am to 4.00 pm ; 1st & 15th of lunar month 7.00am to 4.00pm  
Rest day : Sunday
Updated 13/7/2022",11.30am to 4.00 pm ; 1st & 15th of lunar month 7.00am to 4.00pm
"Business Hour : 11.00am to 9.00pm
Rest day : Wednesday
Updated 4/7/2022

",11.00am to 9.00pm
"Business Hour : 11.00am to 9.00pm 
Rest day : Monday (regardless 1st & 15th of lunar month)
Updated 12/4/2022",11.00am to 9.00pm
"Business Hour : 10.00am to 3.00pm, 5.00pm to 9.30pm ; Weekends 10.00am to 9.30pm
Open daily 
Updated 15/7/2022","10.00am to 3.00pm, 5.00pm to 9.30pm ; Weekends 10.00am to 9.30pm"
"Business Hour : 10.00am to 8.00pm 
Rest day : Sunday
Updated 17/5/2022",10.00am to 8.00pm
"Business Hour : 6.30am to 2.00pm 
Rest day : Sunday 
Updated 18/3/2022",6.30am to 2.00pm
"Restaurant Hour : 11.00am to 7.45pm
Open daily
Updated 13/4/2022",
"Business Hour : 6.00am to 10.00am only open on Saturday , Sunday, Guan Yin Festival , 1st & 15th of lunar month
Updated 13/4/2022",
"Business Hour : 10.00am to 2.30pm, 5.30pm to 9.00pm 
Rest day : 2nd and 16th of lunar month
Updated 14/3/2022","10.00am to 2.30pm, 5.30pm to 9.00pm"
"Business Hour : 7.00am to 2.00pm , 5.00pm to 9.00pm
Open daily
Updated 16/5/2022","7.00am to 2.00pm , 5.00pm to 9.00pm"
"Business Hour : 7.00am to 1.30pm , 5.00pm to 8.00pm
Open daily 
Updated 3/3/2022","7.00am to 1.30pm , 5.00pm to 8.00pm"
"Business Hour : 6.00am to 9.30am Rest day : Monday
Updated 22/5/2022",6.00am to 9.30am
"Business Hour : 7.00am to 12.00am 
Open daily 
Updated 10/1/2022",7.00am to 12.00am
"Business Hour : 7.30am to 2.00pm
Rest day : Thursday (Friday close if 1st & 15th of lunar month fall on Thursday)
Updated 15/4/2022",7.30am to 2.00pm
"Business Hour: 11.30am to 3.00pm , 6.00pm to 10.00pm Rest day : Monday 
Updated 28/6/2022	",
"Business Hour : 6.30am to 3.00pm 
Rest day : Sunday
Updated 9/4/2022",6.30am to 3.00pm
"Business Hour : 7.30am to 4.30pm 
Open daily
Updated 7/2/2022",7.30am to 4.30pm
"Business Hour : 9.15am to 2.30pm  
Rest day : Friday , Saturday, Sunday & Public Holiday
Updated 30/5/2022",9.15am to 2.30pm
"Business Hour : 7.30am to 1.00pm Rest day : Thursday
Updated 22/1/2022",7.30am to 1.00pm
"Business Hour : 10.30am to 3.00pm , 5.00pm to 8.00pm 
Rest day : Thursday   Updated 13/4/2022


","10.30am to 3.00pm , 5.00pm to 8.00pm"
"Business Hour : 7.30am to 12.45pm 
Rest day : Weekends & Public Holidays 
Updated 18/4/2022",7.30am to 12.45pm
"Business Hour : 6.30am to 1.00pm
Rest day : Saturday, alternate Sunday, 2nd & 16th of lunar month
Updated 1/6/2022",6.30am to 1.00pm
"Business Hour : 7.30am to 1.00pm 
Rest day : Friday to Sunday 
Updated 14/4/2022",7.30am to 1.00pm
"Business Hour: 8.30am to 7.30pm ; Weekends 11.00am to 4.15pm ; Public Holidays 11.00am to 2.00pm
Open daily (Close during CNY) 
Updated 7/3/2022",
"Business Hour : 7.00am to 2.30pm
Rest day : Sunday
Updated 31/3/2022",7.00am to 2.30pm
"Business Hour : 12.30pm to 8.00pm
Rest day : Wednesday (including 1st & 15th of lunar month)
Updated 3/3/2022",12.30pm to 8.00pm
"Business Hour : 7.00am to 2.00pm
Rest day : alternate Thursday 
Updated 23/5/2022",7.00am to 2.00pm
"Business Hour : 7.00am to 2.00pm
Rest day : uncertain
Updated 14/5/2022",7.00am to 2.00pm
"Business Hour : 7.00am to 7.00pm
Open daily
Updated 30/4/2022",7.00am to 7.00pm
"Business Hour : 11.30am to 9.30pm
Open daily
Updated 23/5/2022",11.30am to 9.30pm
"Business Hour : 9.30am to 8.30pm ；1st & 15th of lunar month 7.30am to 8.30pm 
Rest day : 2nd & 16th of lunar month
Updated 13/4/2022

 ",9.30am to 8.30pm ；1st & 15th of lunar month 7.30am to 8.30pm
"Business Hour : 7.30am to 4.30pm 
Rest day : Sunday & Public Holidays
Updated 26/4/2022",7.30am to 4.30pm
"Business Hour : 7.30am to 4.30pm
Open daily
Updated 8/3/2022",7.30am to 4.30pm
"Restaurant Hour : 10.30am to 9.15pm 
Open daily 
Updated 13/4/2022",
"Business Hour : 7.00am to 1.00pm.
Rest day : Thursday
Updated 13/6/2022",7.00am to 1.00pm.
"Business Hour : 10.00am  to  9.30pm
Rest day : Sunday & Public Holidays
Updated 15/6/2022",10.00am  to  9.30pm
"Business Hour : 5.30pm to 12.30am
Rest day : uncertain (2 days in a month)
Updated 15/6/2022",5.30pm to 12.30am
"Business Hour : 7.00am to 2.30pm
Rest day : Thursday         
Updated 23/5/2022",7.00am to 2.30pm
"Business Hour : 11.00am to 3.00pm ; 5.00pm to 9.00pm
Rest day : Thursday
Updated 18/4/2022",11.00am to 3.00pm ; 5.00pm to 9.00pm
"Business Hour : Monday 9.00am to 2.30pm ; Wednesday to Sunday 9.00am to 2.30pm , 5.00pm to 9.00pm ; 1st & 15th of lunar month 7.00am to 2.30pm , 5.00pm to 9.00pm
Rest day : Tuesday  
Updated 26/6/2022 



 ","Monday 9.00am to 2.30pm ; Wednesday to Sunday 9.00am to 2.30pm , 5.00pm to 9.00pm ; 1st & 15th of lunar month 7.00am to 2.30pm , 5.00pm to 9.00pm"
"Business Hour : 7.00am to 3.00pm 
Rest day : Tuesday 
Updated 8/4/2022",7.00am to 3.00pm
"Business Hour : 10.00am to 10.00pm ; Friday to Sunday 9.00am to 10.00pm
Open daily
Updated 21/5/2022

",10.00am to 10.00pm ; Friday to Sunday 9.00am to 10.00pm
"Business Hour : 11.00am to 2.30pm , 5.30pm to 9.00pm
Rest day : Wednesday ( if 1st & 15th of lunar month fall on Wednesday, next day will be their rest day)  
Updated 23/5/2022","11.00am to 2.30pm , 5.30pm to 9.00pm"
"Business Hour : 1.00pm to 9.00pm Rest day : Friday (including 1st & 15th of lunar month)
Updated 1/7/2022",1.00pm to 9.00pm
"Business Hour : 5.00pm to 9.30pm
Open daily
Updated 6/5/2022",5.00pm to 9.30pm
"Business Hour : 7.00am to 2.00pm
Rest day : Wednesday  
Updated 20/6/2022",7.00am to 2.00pm
"Business Hour : 10.00am to 10.00pm 
Open daily 
Updated 20/4/2022",10.00am to 10.00pm
"Business Hour : 8.00am to 5.30pm 
Rest day : weekends & Public Holidays
Updated 16/5/2022	",8.00am to 5.30pm
"Business Hour : 7.00am to 2.00pm
Rest day : Sunday
Updated 1/4/2022",7.00am to 2.00pm
"Business Hour : 7.30am to 5.00pm ; weekends 9.00am to 5.00pm
Rest day : uncertain 
Updated 29/5/2022",7.30am to 5.00pm ; weekends 9.00am to 5.00pm
"Business Hours : 7.30am to 3.00pm 
Rest day : Sunday 
Updated 3/4/2022	",
"Business Hour : 6.00am to 11.00am Rest day : Thursday 
Updated 25/4/2022",6.00am to 11.00am
"Business Hour : 8.00am to 4.00pm  
Open daily 
Updated 11/8/2022	",8.00am to 4.00pm
"Business Hour : 4.30pm to 10.00pm
Rest day : Monday (If 1st & 15th of lunar month fall on Monday, next day will be their rest day.)
Updated 3/9/2022",4.30pm to 10.00pm
"Business Hour : 7.00am to 2.30pm 
Rest day : Sunday
Updated 16/5/2022	",7.00am to 2.30pm
"Business Hour : 5.00pm to 10.00pm
Rest day : Wednesday & Thursday
Updated 9/6/2022",5.00pm to 10.00pm
"Business Hour : 7.00am to 4.00pm 
Rest day : Sunday 
Updated 13/4/2022",7.00am to 4.00pm
"Business Hour : 8.15am to 12.30pm
Rest day : Monday  
Updated 24/3/2022",8.15am to 12.30pm
"Business Hour : 7.30am to 3.00pm
Rest day : alternate Monday 
Updated 10/4/2022",7.30am to 3.00pm
"Business Hour: 8.00am to 9.00pm 
Rest day : Sunday
Updated 13/4/2022
",
"Business Hour : 12.00pm to 8.00pm
Rest day : Monday & Tuesday
Updated 18/5/2022",12.00pm to 8.00pm
"Business Hour : 5.30am to 12.00pm
Rest day : Sunday
Updated 21/4/2022",5.30am to 12.00pm
"Business Hour : 4.00pm to 9.00pm
Rest day : uncertain (4 days a month) 
Updated 21/4/2022",4.00pm to 9.00pm
"Business Hour : 10.00am to 3.00pm , 5.00pm to 9.00pm
Rest day : Thursday ( if 1st & 15th of lunar month fall on Thursday , Wednesday will be their rest day )
Updated 11/5/2022","10.00am to 3.00pm , 5.00pm to 9.00pm"
"Business Hour: 11.30am to 2.00pm , 6.00pm to 9.30pm Rest day : alternate Monday 
Updated 14/4/2022
",
"Business Hour : 7.30am to 2.00pm
Rest day : alternate Monday  
Updated 24/6/2022",7.30am to 2.00pm
"Business Hour : 7.00am to 3.00pm , 5.00pm to 7.00pm
Rest day : uncertain
Updated 21/3/2022","7.00am to 3.00pm , 5.00pm to 7.00pm"
"Business Hour：11.00am to 7.00pm 
Rest day : Tuesday 
Updated 20/5/2022",
"Business Hour ：5.00pm to 11.30pm 
Rest day : Thursday 
Updated 29/3/2022",
"Business Hour : 7.00am to 2.00pm 
Rest day : Sunday
Updated 14/4/2022",7.00am to 2.00pm
"Business Hour : 11.00am to 4.00pm 
Rest day: weekends
Updated 14/4/2022",11.00am to 4.00pm
"Business Hour : 9.00am to 8.30pm 
Rest day : Tuesday
Updated 13/4/2022	",9.00am to 8.30pm
"Business Hour : 11.00am to 2.30pm , 5.00pm to 9.00pm
Rest day : Monday & Tuesday
Updated 14/8/2022","11.00am to 2.30pm , 5.00pm to 9.00pm"
"Business Hour : 7.30am to 2.00pm 
Rest day : Sunday & Monday Updated 25/4/2022",7.30am to 2.00pm
"Business Hour : 6.30am to 11.30am 
Rest day : Monday
Updated 1/6/2022",6.30am to 11.30am
"Business Hour : 7.00am to 2.00pm
Rest day : uncertain (two days a month) 
Updated 10/4/2022",7.00am to 2.00pm
"Business Hour : 11.00am to 9.30pm ; 1st & 15th of lunar month 7.30am to 9.30pm
Open daily 
Updated 4/4/2022",11.00am to 9.30pm ; 1st & 15th of lunar month 7.30am to 9.30pm
"Business Hour : 11.30am to 3.00pm , 5.30pm to 9.30pm
Rest day : Monday to Wednesday
Updated 18/5/2022
","11.30am to 3.00pm , 5.30pm to 9.30pm"
"Business Hour : 7.00am to 2.00pm 
Rest day : uncertain (2 days or 3 days in a month ) 
Updated 14/6/2022",7.00am to 2.00pm
"Business Hour : 11.00am to 6.00pm
Rest day : Monday to Wednesday
Updated 24/5/2022",11.00am to 6.00pm
"Business Hour : 6.00am to 10.30am  
Rest day : 2nd & 16th of lunar month 
Updated 17/4/2022",6.00am to 10.30am
"Business Hour : 11.00am to 9.30pm 
Open daily
Updated 8/2/2022

",11.00am to 9.30pm
"Business Hour : 8.00am to 3.00pm
Rest day : alternate Monday 
Updated 15/7/2022",8.00am to 3.00pm
"Business Hour : 7.00am to 11.00am
Open daily 
Updated 17/4/2022",7.00am to 11.00am
"Business Hour : 8.00am to 2.30pm 
Rest day : Tuesday 
Updated 2/4/2022",8.00am to 2.30pm
"Business Hour : 7.00am to 2.00pm
Rest day : uncertain
Updated 14/8/2022",7.00am to 2.00pm
"Business Hour : 7.00am to 2.30pm 
Rest day : Sunday 
Updated 4/4/2022",7.00am to 2.30pm
"Business Hour : 10.00am to  8.30pm
Rest day : Tuesday
Updated 9/4/2022",10.00am to  8.30pm
"Business Hour : 11.00am to 3.00pm, 5.00pm to 10.00pm Open daily Updated 19/5/2022","11.00am to 3.00pm, 5.00pm to 10.00pm"
"Business Hour : 6.30am to 1.30pm
Rest day : 1st & 3rd of Monday 
Updated 24/5/2022",6.30am to 1.30pm
"Business Hour : 6.00am to 6.00pm
Open daily
Updated 9/4/2022",6.00am to 6.00pm
"Business Hour : 8.30am to 10.45pm 
Open daily
Updated 15/4/2022
",8.30am to 10.45pm
"Business Hour : 6.30am to 3.00pm ; 1st & 15th of lunar month  6.00am to 3.00pm
Rest day : Sunday 
Updated 15/7/2022",6.30am to 3.00pm ; 1st & 15th of lunar month  6.00am to 3.00pm
"Business Hour : 10.00am to 7.00pm ; Weekends 10.00am to 8.00pm
Open daily 
Updated 21/5/2022",10.00am to 7.00pm ; Weekends 10.00am to 8.00pm
"Business Hour : 7.45am to 2.30pm
Rest day : Wednesday (If 1st & 15th of lunar month fall on Wednesday, next day will be their rest day.)
Updated 18/4/2022",7.45am to 2.30pm
"Business Hour : 11.00am to 10.00pm ; weekends 10.30am to 10.00pm 
Rest day : alternate Monday 
Updated 26/6/2022",11.00am to 10.00pm ; weekends 10.30am to 10.00pm
"Business Hour : 5.00pm to 10.00pm  
Rest day : Wednesday & 1st of lunar month 
Updated 17/4/2022",5.00pm to 10.00pm
"Business Hour: 9.00am to 2.15pm 
Rest day: Wednesday (if 1st & 15th of lunar month fall on Wednesday , next day will be their rest day) 
Updated 16/4/2022",
"Restaurant Hour : 10.00am to 7.00pm 
Rest day : Sunday & Public Holidays 
Updated 13/4/2022",
"Business Hour : 10.00am to 5.00pm Rest day : Sunday
Updated 2/8/2022",10.00am to 5.00pm
"Business Hour : 6.30am to 5.00pm 
Rest day : Tuesday 
Updated 2/4/2022",6.30am to 5.00pm
"Business Hour : 6.00am to 1.00pm ; Saturday 6.00am to 10.00am 
Rest day : Sunday
Updated 9/4/2022",6.00am to 1.00pm ; Saturday 6.00am to 10.00am
"Business Hour : 8.00am to 3.00pm ; 5.00pm to 8.30pm
Rest day : Sunday
Updated 9/2/2022",8.00am to 3.00pm ; 5.00pm to 8.30pm
"Business Hour : 7.00am to 2.00pm
Rest day : Sunday
Updated 8/5/2022",7.00am to 2.00pm
"Business Hour : 6.30am to 3.00pm 
Rest day : Monday 
Updated 12/4/2022",6.30am to 3.00pm
"Business Hour : 8.00am to 8.30pm 
Rest day : Monday （if 1st & 15th of lunar month fall on Monday , next day will be their rest day)
Updated 5/4/2022",8.00am to 8.30pm
"Business Hour : 10.00am to 9.00pm 
Rest day : Friday 
Updated 3/4/2022",10.00am to 9.00pm
"Business Hour : 7.30am to 7.30pm
Rest day : Monday
Updated 5/4/2022",7.30am to 7.30pm
"Business Hour : 6.30am to 1.00pm 
Rest day : alternate Thursday 
Updated 26/4/2022	",6.30am to 1.00pm
"Business Hour : 8.00am to 10.00pm 
Open daily 
Updated 9/4/2022",8.00am to 10.00pm
"Business Hour : 6.30am to 2.00pm 
Rest day : 2nd & 16th of lunar month
Updated 31/3/2022",6.30am to 2.00pm
"Business Hour : 10.30am to 9.00pm ; 1st & 15th of lunar month 9.30am to 9.00pm
Rest day : alternate Wednesday
Updated 14/2/2022",10.30am to 9.00pm ; 1st & 15th of lunar month 9.30am to 9.00pm
"Business Hour : 11.00am to 8.00pm
Rest day : Monday
Updated 12/4/2022",11.00am to 8.00pm
"Business Hour : 7.00am to 1.00pm 
Rest day : Monday
Updated 24/5/2022

",7.00am to 1.00pm
"Business Hour : 6.30am to 2.30pm
Rest day : Tuesday 
Updated 5/4/2022",6.30am to 2.30pm
"Business Hour : 7.15am to 8.00pm
Rest day : Monday
Updated 6/4/2022",7.15am to 8.00pm
"Business Hour : 7.00am to 1.30pm 
Rest day : Monday 
Updated 7/4/2022",7.00am to 1.30pm
"Business Hour : 7.00am to 3.00pm
Rest day : alternate Tuesday
Updated 9/4/2022",7.00am to 3.00pm
"Business Hour : 7.30am to 6.30pm Rest day : 2nd & 4th Monday 
Updated 15/5/2022",7.30am to 6.30pm
"Business Hour : 11.00am to 9.00pm
Open daily
Updated 9/4/2022",11.00am to 9.00pm
"Business Hour : 6.00am to 2.30pm
Open daily
Updated 9/4/2022",6.00am to 2.30pm
"Business Hour : 11.30am to 3.50pm , 5.30pm to 9.00pm
Rest day : Monday
Updated 10/4/2022	","11.30am to 3.50pm , 5.30pm to 9.00pm"
"Business Hour : 8.00am to 5.00pm ; 1st & 15th of lunar month 8.00am to 2.00pm
Rest day : Friday
Updated 7/6/2022",8.00am to 5.00pm ; 1st & 15th of lunar month 8.00am to 2.00pm
"Business Hour : 7.00am to 1.30pm 
Rest day : uncertain 
Updated 21/5/2022",7.00am to 1.30pm
"Business Hour : 7.00am to 6.00pm ; 1st & 15th of lunar month 7.00am to 8.00pm
Rest day : 2nd & 16th of lunar month 
Updated 15/8/2022


",7.00am to 6.00pm ; 1st & 15th of lunar month 7.00am to 8.00pm
"Business Hour : 10.00am to 3.00pm , 6.00pm to 9.30pm
Rest day : Monday
Updated 12/4/2022","10.00am to 3.00pm , 6.00pm to 9.30pm"
"Business Hour : 11.00am to 8.00pm ; 1st & 15th of lunar month 9.00am to 8.00pm
Rest day : Wednesday
Updated 28/4/2022",11.00am to 8.00pm ; 1st & 15th of lunar month 9.00am to 8.00pm
"Business Hour : 8.00am to 7.00pm
Rest day : Wednesday 
Updated 21/5/2022",8.00am to 7.00pm
"Business Hour : 11.00am to 3.00pm , 5.00pm to 8.00pm Rest day : Tuesday
Updated 9/4/2022","11.00am to 3.00pm , 5.00pm to 8.00pm"
"Business Hour : 8.00am to 2.00pm 
Rest day : Sunday (regardless 1st & 15th of lunar month) 
Updated 4/7/2022",8.00am to 2.00pm
"Business Hour: 6.00am to 2.00pm 
Rest day : Thursday
Updated 9/4/2022",
"Business Hour : 7.00am to 1.00pm 
Rest day : Friday 
Updated 20/4/2022	",7.00am to 1.00pm
"Business Hour : 7.00am to 1.00pm 
Rest day : Sunday 
Updated 14/4/2022",7.00am to 1.00pm
"Business Hour : 6.00am to 8.00am , Saturday 12.00pm to 2.30pm 
Open daily
Updated 14/4/2022



","6.00am to 8.00am , Saturday 12.00pm to 2.30pm"
"Business Hour : 6.30am to 2.00pm 
Rest day : Thursday
Updated 23/5/2022",6.30am to 2.00pm
"Business Hour : 7.00am to 1.30pm 
Rest day : uncertain , 2 days in a month 
Updated 14/4/2022",7.00am to 1.30pm
"Business Hour : 9.30am to 2.00pm , 5.00pm to 9.00pm
Rest day : Thursday (if 1st & 15th lunar month fall on Thursday, Friday will be their rest day) 
Updated 14/4/2022

","9.30am to 2.00pm , 5.00pm to 9.00pm"
"Business Hour : 6.30am to 12.00pm 
Rest day : Sunday
Updated 19/4/2022",6.30am to 12.00pm
"Business Hour : 7.00am to 5.00pm 
Open daily
Updated 20/5/2022",7.00am to 5.00pm
"Business Hour : 9.00am to 7.30pm ; 1st & 15th of lunar month 7.30am to 7.30pm 
Rest day : Monday Updated 9/4/2022",9.00am to 7.30pm ; 1st & 15th of lunar month 7.30am to 7.30pm
"Business Hour : 8.00am to 2.30pm
Rest day : Monday 
Updated 14/4/2022",8.00am to 2.30pm
"Business Hour : 9.30am to 5.00pm ; 1st & 15th of lunar month 8.00am to 5.00pm 
Rest day : Sunday 
Updated 9/4/2022

",9.30am to 5.00pm ; 1st & 15th of lunar month 8.00am to 5.00pm
"Business Hour : 11.30am to 3.00pm , 5.00pm to 10.00pm 
Rest day : Wednesday
Updated 15/6/2022
","11.30am to 3.00pm , 5.00pm to 10.00pm"
"Business Hour : 7.00am to 2.00pm 
Rest day : Thursday
Updated 4/4/2022",7.00am to 2.00pm
"Business Hour: 6.30am to 1.30pm 
Rest day : Friday
Updated 9/4/2022",
"Business Hour : 9.30am to 9.30pm ; 1st & 15th of lunar month 7.30am to 9.30pm 
Open daily
Updated 4/4/2022	",9.30am to 9.30pm ; 1st & 15th of lunar month 7.30am to 9.30pm
"Business Hour : 8.00am to 12.30pm Open daily 
Updated 20/4/2022",8.00am to 12.30pm
"Business Hour : 7.00am to 12.00pm  
Rest day : Thursday
Updated 17/4/2022
",7.00am to 12.00pm
"Business Hour : 11.00am to 2.30pm , 5.30pm to 9.00pm
Rest day : Monday
Updated 23/4/2022","11.00am to 2.30pm , 5.30pm to 9.00pm"
"Business Hour : 7.00am to 1.30pm 
Rest day : alternate Monday 
Updated 13/4/2022",7.00am to 1.30pm
"Business Hour : 7.00am to 2.00pm 
Rest day : Sunday & alternate Monday
Updated 14/4/2022",7.00am to 2.00pm
"Business Hour : 9.00am to 8.00pm 
Open daily 
Updated 20/4/2022",9.00am to 8.00pm
"Business Hour : 11.30am to 8.30pm  
Open daily
Updated 20/5/2022",11.30am to 8.30pm
"Restaurant Hour : 11.00am to 9.30pm ; Friday & Saturday 11.00am to 10.00pm
Open daily 
Updated 13/4/2022",
"Business Hour : 7.00am to 1.30pm 
Rest day : Sunday 
Updated 22/5/2022",7.00am to 1.30pm
"Business Hour: 11.30am to 3.00pm , 5.30pm to 9.30pm 
Rest day : alternate Monday
Updated 13/4/2022
",
"Business Hour : 6.45am to 2.45pm 
Rest day : Sunday & Public Holidays 
Updated 24/5/2022",6.45am to 2.45pm
"Business Hour : 7.00am to 11.00am Rest day : Sunday and the day before 1st & 15th of lunar month
Updated 17/5/2022",7.00am to 11.00am
"Business Hour : 8.00am to 7.00pm 
Rest day : Sunday
Updated 12/4/2022",8.00am to 7.00pm
"Business Hour : 10.30am to 2.30pm , 5.30pm to 9.00pm 
Rest day : Monday 
Updated 13/4/2022","10.30am to 2.30pm , 5.30pm to 9.00pm"
"Business Hour : 6.30am to 9.00am 
Rest day : weekends & Public Holidays  
Updated 19/5/2022",6.30am to 9.00am
"Business Hour : 11.00am to 3.00pm , 6.00pm to 10.00pm
Open daily
Updated 15/4/2022","11.00am to 3.00pm , 6.00pm to 10.00pm"
"Business Hour : 6.00am to 10.00am 
Rest day : Monday 
Updated 13/4/2022",6.00am to 10.00am
"Business Hour : 11.00am to 3.30pm , 4.30pm to 9.00pm ; Friday to Sunday 11.00am to 3.00pm , 5.00pm to 10.00pm
Rest day : Tuesday 
Updated 16/5/2022


","11.00am to 3.30pm , 4.30pm to 9.00pm ; Friday to Sunday 11.00am to 3.00pm , 5.00pm to 10.00pm"
"Business Hour : 7.00am to 1.30pm
Rest day : Wednesday (regardless 1st & 15th of lunar month)
Updated 17/5/2022",7.00am to 1.30pm
"Business Hour : 7.00am to 2.00pm
Rest day : uncertain
Updated 10/4/2022",7.00am to 2.00pm
"Business Hour : 11.00am to 9.00pm
Open daily
Updated 13/4/2022",11.00am to 9.00pm
"Restaurant Hour : 11.00am to 8.00pm
Open daily
Updated 10/6/2022",
"Business Hour : 8.00am to 7.00pm
Rest day : alternate Thursday
Updated 13/4/2022",8.00am to 7.00pm
"Restaurant Hour : 10.30am to 3.30pm , 5.00pm to 8.00pm
Rest day : Tuesday and selective Public Holidays
Updated 13/4/2022",
"Business Hour : 11.00am to 2.45pm , 6.00pm to 9.00pm
Rest day : Monday 
Updated 20/5/2022","11.00am to 2.45pm , 6.00pm to 9.00pm"
"Business Hour : 7.00am to 2.30pm  
Rest day : Sunday 
Updated 21/5/2022",7.00am to 2.30pm
"Business Hour : 7.00am to 4.30pm 
Rest day : Thursday
Updated 4/5/2022
",7.00am to 4.30pm
"Business Hour : 10.00am to 8.00pm 
Open daily 
Updated 6/4/2022",10.00am to 8.00pm
"Restaurant Hour : 10.00am to 9.00pm 
Rest day : Thursday
Updated 4/5/2022",
"Business Hour : 11.30am to 2.00pm , 5.30pm to 7.00pm ; Saturday 11.30am to 2.30pm 
Rest day : weekends
Updated 20/5/2022
","11.30am to 2.00pm , 5.30pm to 7.00pm ; Saturday 11.30am to 2.30pm"
"Business Hour : 6.00am to 2.00pm
Open daily
Updated 3/8/2022",6.00am to 2.00pm
"Business Hour : 9.30am to 3.00pm , 5.00pm to 9.00pm
Open daily 
Updated 18/7/2022

","9.30am to 3.00pm , 5.00pm to 9.00pm"
"Business Hour : 12.00pm to 9.00pm ; Thursday 12.00pm to 6.00pm 
Rest day : Friday
Updated 3/9/2022
",12.00pm to 9.00pm ; Thursday 12.00pm to 6.00pm
"Business Hour : 10.30am to 8.00pm
Rest day : Monday 
Updated9/4/2022",10.30am to 8.00pm
"Business Hour : 7.30am to 2.30pm 
Rest day : Sunday 
Updated 4/4/2022",7.30am to 2.30pm
"Business Hour : 9.00am to 3.00pm , 5.00pm to 9.00pm 
Open daily 
Updated 3/4/2022","9.00am to 3.00pm , 5.00pm to 9.00pm"
"Business Hour : 11.00am to 2.30pm , 5.00pm to 8.30pm 
Rest day : Wednesday (except Public Holidays)
Updated 4/5/2022

","11.00am to 2.30pm , 5.00pm to 8.30pm"
"Business Hour : 7.00am to 2.00pm 
Rest day : alternate Wednesday
Updated 20/3/2022",7.00am to 2.00pm
"Business Hour: 5.00pm to 11.00pm ; Friday to Sunday 10.00am to 10.00pm
Open daily 
Updated 6/4/2022",
"Business Hour : 7.00am to 5.00pm 
Rest day : Thursday
Updated 4/4/2022",7.00am to 5.00pm
"Business Hour : 7.00am to 11.00pm
Open daily 
Updated 8/8/2022",7.00am to 11.00pm
"Business Hour : 10.00am to 10.00pm 
Open daily 
Updated 23/4/2022",10.00am to 10.00pm
"Business Hour : 11.30am to 2.00pm
Rest day : Monday
Updated 24/5/2022",11.30am to 2.00pm
"Business Hour : 11.00am to 3.00pm, 5.00pm to 9.00pm ; Saturday , Sunday & Public Holidays 11.00am to 9.00pm  
Rest day : Tuesday 
Updated 4/4/2022

","11.00am to 3.00pm, 5.00pm to 9.00pm ; Saturday , Sunday & Public Holidays 11.00am to 9.00pm"
"Business Hour : 6.30am to 12.00pm 
Rest day : alternate Thursday  
Updated 13/4/2022	",6.30am to 12.00pm
"Business Hour : 6.00am to 5.00pm 
Rest day : Wednesday
Updated 9/4/2022
",6.00am to 5.00pm
"Business Hour : 6.30am to 2.00pm 
Rest day : Sunday
Updated 9/4/2022",6.30am to 2.00pm
"Business Hour : 11.00am to 8.00pm 
Rest day : Friday 
Updated 14/4/2022",11.00am to 8.00pm
"Business Hour : 12.00pm to 4.00pm, 6.00pm to 10.00pm
Rest day : Tuesday (including 1st & 15th of lunar month)
Updated 16/6/2022","12.00pm to 4.00pm, 6.00pm to 10.00pm"
"Business Hour : 7.00am to 2.00pm Rest day : Monday 
Updated 16/4/2022",7.00am to 2.00pm
"Business Hour : 8.30am to 2.30pm 
Rest day : Thursday 
Updated 15/5/2022",8.30am to 2.30pm
"Business Hour: 12.0pm to 8.30pm  
Rest day: Friday
Updated 12/4/2022",
"Business Hour : 5.30am to 10.30am 
Rest day: Monday
Updated 9/4/2022",5.30am to 10.30am
"Business Hour : 7.30am to 1.00pm 
Rest day : Tuesday & Wednesday 
Updated 6/4/2022",7.30am to 1.00pm
