linkDescription,hours
"Business Hour : 7.00am to 4.00pm ; 1st & 15th of lunar month 6.00am to 4.00pm Rest day : Sunday
Updated 6/5/2022",7.00am to 4.00pm ; 1st & 15th of lunar month 6.00am to 4.00pm
"Business Hour : 10.30am to 2.15pm , 4.30pm to 9.00pm 
Rest day : alternate Tuesday
Updated 24/2/2022
 ","10.30am to 2.15pm , 4.30pm to 9.00pm"
"Business Hour : 11.30am to 10.30pm 
Open daily
Updated 30/4/2022",11.30am to 10.30pm
"Business Hour : 8.30am to 10.30pm 
Open daily
Updated 30/4/2022",8.30am to 10.30pm
"Business Hour : 8.00am to 9.30pm 
Open daily
Updated 30/4/2022
  ",8.00am to 9.30pm
"Business Hour : 7.30am to 2.30pm , 5.30pm to 7.30pm 
Rest day : Thursday (night) , 2nd & 16th of lunar month, (If 2nd & 16th of lunar month fall on Sunday or Saturday , Monday will be their rest day) 
Updated 15/4/2022","7.30am to 2.30pm , 5.30pm to 7.30pm"
"Business Hour : 12.30pm to 6.30pm 
Rest day : weekends  
Updated 17/4/2022",12.30pm to 6.30pm
"Business Hour : 8.00am to 8.30pm 
Rest day : uncertain (once a month)
Updated 25/4/2022
",8.00am to 8.30pm
"Business Hour : 8.00am to 2.00pm
Rest day : Sunday 
Updated 27/6/2022",8.00am to 2.00pm
"Business Hour : 7.00am to 2.30pm 
Rest day : Sunday
Updated 16/4/2022",7.00am to 2.30pm
"Business Hour : 6.30am to 2.30pm 
Rest day : Monday 
Updated 14/4/2022
",6.30am to 2.30pm
"Business Hour : 11.00am to 11.00pm
Rest day : Sunday
Updated 21/5/2022",11.00am to 11.00pm
"Restaurant Hour : 11.30am to 6.00pm
Rest day : Monday 
Updated 12/6/2022",
"Business Hour : 10.30am to 3.50pm, 5.00pm to 9.30pm 
Open daily
Updated 26/2/2022","10.30am to 3.50pm, 5.00pm to 9.30pm"
"Business Hour : 7.00am to  2.00pm 
Rest day : Thursday
Updated 15/4/2022",7.00am to  2.00pm
"Business Hour : 7.00am to 2.00pm , 1st & 15th of lunar month 6.00am to 2.00pm 
Rest day : Monday
Updated 16/4/2022","7.00am to 2.00pm , 1st & 15th of lunar month 6.00am to 2.00pm"
"Business Hour : 6.30am to 1.45pm , 5.30pm to 7.00pm ; Saturday 6.30am to 1.45pm ；1st & 15th of lunar month 6.30am to 2.00pm 
Rest day : Saturday(night) & Sunday  
Updated 15/4/2022","6.30am to 1.45pm , 5.30pm to 7.00pm ; Saturday 6.30am to 1.45pm ；1st & 15th of lunar month 6.30am to 2.00pm"
"Business Hour : 7.30am to 2.00pm , 4.30pm to 8.30pm
Rest day : Friday (Night）, 2nd & 16th of lunar month （Morning）
Updated 15/4/2022
","7.30am to 2.00pm , 4.30pm to 8.30pm"
"Business Hour : 9.30am to 3.00pm
Rest day : Thursday
Updated 15/4/2022",9.30am to 3.00pm
"Business Hour : 7.00am to 2.00pm
Rest day : Sunday
Updated 13/4/2022",7.00am to 2.00pm
"Business Hour : 10.00am to 9.00pm 
Open daily 
Updated 17/6/2022",10.00am to 9.00pm
"Business Hour : 7.30am to 2.00pm 
Rest day : Monday, 2nd & 16th of lunar month 
Updated 17/4/2022",7.30am to 2.00pm
