original_request_url,time,reaction_count,scrape
https://www.facebook.com/groups/781347675284086/permalink/1021870167898501,2016-05-07 10:05:45,40.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/4368649643220520,2021-03-31 10:46:01,50.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/1982134991872009,2018-12-06 04:55:28,19.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/2049670681785106,2019-01-22 13:21:06,54.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/3827130714039085,2020-09-14 06:59:09,96.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/1284180638334118,2017-03-05 11:55:45,31.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/892852527466933,2015-09-15 03:50:49,155.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/1806366779448832,2018-08-01 12:17:22,18.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/2238946552857517,2019-05-24 05:49:39,15.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/1213041265448056,2016-12-29 04:32:56,81.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/857413107677542,2015-07-05 04:37:11,135.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/1309552469130268,2017-03-27 11:26:23,30.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/1362269263858588,2017-05-21 16:38:37,13.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/866010446817808,2015-07-25 02:00:16,72.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/1712959845456193,2018-05-25 23:12:55,52.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/1785109544907889,2018-07-19 08:42:32,14.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/1456579287760918,2017-08-26 15:10:12,18.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/4072400542845433,2020-12-09 01:44:19,17.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/2642886569130178,2019-12-20 16:24:00,32.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/918272774924908,2015-11-14 11:23:19,66.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/1532002680218578,2017-11-20 04:32:53,25.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/2276767659075406,2019-06-14 10:46:16,43.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/2131521980266642,2019-03-17 15:39:06,64.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/4837385393013607,2021-09-08 14:56:50,22.0,2022-09-15 09:00:41.973177
https://www.facebook.com/groups/781347675284086/permalink/2635288973223271,2019-12-17 02:22:01,388.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/2780081672077333,2020-02-24 07:59:12,17.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/2832089010209932,2020-03-17 08:43:28,2.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/1086021041483413,2016-08-17 07:41:44,16.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/5647905658628239,2022-05-15 15:16:02,95.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/3506769709408522,2020-07-10 13:45:54,20.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/1015538921864959,2016-04-26 11:19:15,76.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/1587660077986171,2018-01-18 05:14:14,42.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/5876318409120295,2022-08-04 15:01:25,28.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/5100389596713184,2021-11-29 02:40:42,46.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/4293903290695156,2021-03-03 08:39:57,567.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/5679627832122688,2022-05-26 08:37:41,34.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/919947524757433,2015-11-18 14:51:07,34.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/2429181847167319,2019-09-08 15:25:33,14.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/1282862365132612,2017-03-04 03:22:14,91.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/1322936327791882,2017-04-09 15:17:32,22.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/1483789545039892,2017-09-27 08:36:31,48.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/1762489330503244,2018-07-04 03:23:20,15.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/2557101307708705,2019-11-11 12:24:21,105.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/2514381171980719,2019-10-22 02:27:58,9.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/5563330737085732,2022-04-14 08:21:54,24.0,2022-09-15 09:00:41.973227
https://www.facebook.com/groups/781347675284086/permalink/1312526268832888,2017-03-30 14:25:32,125.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/2313961862022652,2019-07-05 14:00:24,248.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/1296600617092120,2017-03-14 13:29:38,45.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/1210925358992980,2016-12-27 04:31:10,355.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/1993513580734150,2018-12-14 02:51:03,25.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/1489357764483070,2017-10-04 03:55:06,34.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/1674901095928735,2018-04-16 06:52:10,35.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/1377260359026145,2017-06-06 04:09:11,79.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/5380855881999886,2022-02-07 07:39:55,23.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/905890859496433,2015-10-16 01:22:38,64.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/4909322899153189,2021-09-30 08:43:15,44.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/1466782396740607,2017-09-07 02:26:27,25.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/2882157401869759,2020-04-08 08:56:43,32.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/1614971801921665,2018-02-15 17:47:35,11.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/2399164773502360,2019-08-23 01:36:55,13.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/1581844528567726,2018-01-11 12:34:36,114.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/1334394069979441,2017-04-21 04:35:30,13.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/2188145297937643,2019-04-23 04:46:31,86.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/4340570662695085,2021-03-21 10:30:37,96.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/1456967551055425,2017-08-27 02:25:35,12.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/1370245679727613,2017-05-30 04:56:13,18.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/1456161477802699,2017-08-26 02:44:04,133.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/1631623896923122,2018-03-04 12:19:11,114.0,2022-09-15 08:27:06.825643
https://www.facebook.com/groups/781347675284086/permalink/5589772641108208,2022-04-24 12:17:52,16.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/1195197860565730,2016-12-14 13:52:03,199.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/5141006829318127,2021-12-07 07:39:26,44.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/1566956916723154,2017-12-27 07:43:57,46.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/5766089980143139,2022-06-25 10:59:31,195.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/1425988040820043,2017-07-23 09:12:54,125.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/5270796663005809,2022-01-11 12:00:02,267.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/5229468697138606,2021-12-29 05:31:24,86.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/1162307467188103,2016-11-16 03:43:18,60.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/1516087391810107,2017-11-02 17:36:23,26.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/1096428150442702,2016-08-30 02:37:21,44.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/2295637643855074,2019-06-25 02:50:37,27.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/4418899461528871,2021-04-16 07:09:20,91.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/1387841994634648,2017-06-16 04:46:52,26.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/2104880269597480,2019-02-27 14:37:22,19.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/1012717928813725,2016-04-21 14:45:23,21.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/1611453265606852,2018-02-12 00:40:13,178.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/1614795015272677,2018-02-15 14:09:10,54.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/1442441315841382,2017-08-10 08:47:45,34.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/1257411214344394,2017-02-07 13:25:10,49.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/1436313049787542,2017-08-03 15:15:12,161.0,2022-09-15 08:27:06.825667
https://www.facebook.com/groups/781347675284086/permalink/3689016317850526,2020-07-30 03:25:36,101.0,2022-09-15 08:27:06.825667
